file_name,docsource,template_name,template_code,unit,currency_code,currency_name,currency_desc,lang_code,lang_name,lang_desc,datatype,pagenumberbscon,pagenumberbssta,pagenumberiscon,pagenumberissta,pagenumbercfcon,pagenumbercfsta,features,pagenumbernotes,pagenumbernotesliquidity,password,industrycode,finresult,entity_id,entity_name,finendmonthindex_code,finendmonthindex_name,country_code,country_name
D&B_KINGDOM_HOLDING_COMPANY.pdf,FST,Template_DNB,T_DNB,ACTUALS,PKR,PKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberPakistan,December Pakistan,12,December,PAK,Pakistan
D&B_Kohat Textile Mills Ltd 2022.pdf,FST,Template_DNB,T_DNB,ACTUALS,PKR,PKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,JunePakistan,June Pakistan,6,June,PAK,Pakistan
D&B_KTM Pakistan Annual Report 2022.pdf,FST,Template_DNB,T_DNB,ACTUALS,PKR,PKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,JunePakistan,June Pakistan,6,June,PAK,Pakistan
D&B_kuwait Telecommunication Ltd.pdf,FST,Template_DNB,T_DNB,ACTUALS,KWD,KWD,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberKuwait,December Kuwait,12,December,KWT,Kuwait
D&B_Kuwait_Equate AR.pdf,FST,Template_DNB,T_DNB,ACTUALS,KWD,KWD,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberKuwait,December Kuwait,12,December,KWT,Kuwait
D&B_Lanka-Hospital-Annual-Report-2021.pdf,FST,Template_DNB,T_DNB,ACTUALS,LKR,LKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,DecemberSriLanka,December Sri Lanka,12,December,LKA,Srilanka
D&B_LEINER PAK GELATINE LIMITED-2022.pdf,FST,Template_DNB,T_DNB,ACTUALS,PKR,PKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,JunePakistan,June Pakistan,6,June,PAK,Pakistan
D&B_lfl_annual_report_2022.pdf,FST,Template_DNB,T_DNB,ACTUALS,MUR,MUR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,JuneMauritius,June Mauritius,6,June,MUS,Mauritius
D&B_limuru-tea-plc-annual-report-and-financial-statements-2020-eh7uzx-tcm1283-561595-en.pdf,FST,Template_DNB,T_DNB,ACTUALS,KES,KES,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,Decemberkenya,December kenya,12,December,KEN,Kenya
D&B_Lion Brewery PLC 2021-2020.pdf,FST,Template_DNB,T_DNB,ACTUALS,LKR,LKR,,en,English,English,AUDITED,,,,,,,EquityStatement,,,,,No,March Sri Lanka,March Sri Lanka,3,March,LKA,Srilanka
